depdate,count
20752.0,99785
20753.0,103062
20754.0,117097
20755.0,128061
20756.0,135492
20757.0,125216
20758.0,114343
20759.0,98389
20760.0,98083
20761.0,101887
20762.0,115152
20763.0,127196
20764.0,125505
20765.0,104503
20766.0,88865
20767.0,85448
20768.0,93310
20769.0,92405
20770.0,94235
20771.0,77446
20772.0,83326
20773.0,87991
20774.0,89183
20775.0,100970
20776.0,99874
20777.0,110445
20778.0,111715
20779.0,99586
20780.0,77986
20781.0,65193
20782.0,63937
20783.0,72807
20784.0,103358
20785.0,113212
20786.0,102078
20787.0,85482
20788.0,87829
20789.0,86173
20790.0,90502
20791.0,96614
20792.0,92200
20793.0,85206
20794.0,77521
20795.0,75885
20796.0,84216
20797.0,91497
20798.0,97809
20799.0,95481
20800.0,87752
20801.0,73543
20802.0,69368
20803.0,73473
20804.0,72306
20805.0,70465
20806.0,75718
20807.0,71523
20808.0,69064
20809.0,67878
20810.0,67231
20811.0,68483
20812.0,50051
20813.0,49388
20814.0,66773
20815.0,80532
20816.0,96546
20817.0,105127
20818.0,109470
20819.0,97004
20820.0,133591
20821.0,155230
20822.0,137432
20823.0,122900
20824.0,112913
20825.0,104272
20826.0,100435
20827.0,90945
20828.0,72027
20829.0,59627
20830.0,48640
20831.0,42319
20832.0,37717
20833.0,42328
20834.0,38914
20835.0,31015
20836.0,24415
20837.0,22186
20838.0,19382
20839.0,19351
20840.0,19043
20841.0,17459
20842.0,15054
20843.0,12741
20844.0,12699
20845.0,11044
20846.0,9357
20847.0,12077
20848.0,11394
20849.0,11412
20850.0,11243
20851.0,8423
20852.0,7960
20853.0,7022
20854.0,8469
20855.0,8345
20856.0,6791
20857.0,5919
20858.0,6158
20859.0,5136
20860.0,6025
20861.0,6547
20862.0,6753
20863.0,5529
20864.0,4931
20865.0,7008
20866.0,5333
20867.0,4953
20868.0,6193
20869.0,5984
20870.0,6256
20871.0,5062
20872.0,5840
20873.0,5542
20874.0,5251
20875.0,7562
20876.0,6971
20877.0,6364
20878.0,8167
20879.0,6547
20880.0,5627
20881.0,4631
20882.0,6011
20883.0,6156
20884.0,4942
20885.0,4451
20886.0,5067
20887.0,4968
20888.0,4519
20889.0,5079
20890.0,5073
20891.0,4407
20892.0,3525
20893.0,5969
20894.0,4827
20895.0,4227
20896.0,4889
20897.0,4633
20898.0,4621
20899.0,3619
20900.0,3925
20901.0,3850
20902.0,3413
20903.0,4705
20904.0,4197
20905.0,3571
20906.0,3956
20907.0,3965
20908.0,4267
20909.0,3955
20910.0,3954
20911.0,3712
20912.0,3235
20913.0,3043
20914.0,3310
20915.0,2850
20916.0,2413
20917.0,3237
20918.0,3118
20919.0,3263
20920.0,2769
20921.0,3019
20922.0,2847
20923.0,2302
20924.0,2797
20925.0,2197
20926.0,2054
20927.0,2407
20928.0,2377
20929.0,2893
20930.0,2091
20931.0,2626
20932.0,2408
20933.0,2282
20934.0,2770
20935.0,2615
20936.0,2848
20937.0,2668
20938.0,3389
20939.0,3283
20940.0,2177
20941.0,2349
20942.0,2478
20943.0,2301
20944.0,2297
20945.0,2400
20946.0,2291
20947.0,2143
20948.0,2133
20949.0,2696
20950.0,2267
20951.0,1915
20952.0,2127
20953.0,2214
20954.0,2423
20955.0,2219
20956.0,2179
20957.0,2197
20958.0,1806
20959.0,2264
20960.0,2014
20961.0,1853
20962.0,1875
20963.0,1807
20964.0,1981
20965.0,1735
20966.0,2097
20967.0,2128
20968.0,1778
20969.0,1898
20970.0,2045
20971.0,1820
20972.0,1419
20973.0,1571
20974.0,1552
20975.0,1563
20976.0,1562
20977.0,1415
20978.0,1501
20979.0,1226
20980.0,1654
20981.0,1447
20982.0,1368
20983.0,1077
20984.0,60
21919.0,1
21987.0,1
22059.0,1
22112.0,1
24188.0,1
24297.0,1
29598.0,1
31442.0,1
39935.0,1
42448.0,1
44226.0,2
45427.0,1
48342.0,48
