arrdate,count
20583.0,107635
20584.0,96950
20585.0,107055
20586.0,127967
20587.0,125585
20588.0,129558
20589.0,118499
20590.0,112451
20591.0,99787
20592.0,103695
20593.0,117151
20594.0,126642
20595.0,126089
20596.0,112172
20597.0,103078
20598.0,91782
20599.0,105107
20600.0,117654
20601.0,115050
20602.0,115238
20603.0,91605
20604.0,91690
20605.0,90372
20606.0,112399
20607.0,122364
20608.0,120961
20609.0,125730
20610.0,115028
20611.0,112576
20612.0,98423
20613.0,104453
20614.0,120936
20615.0,121911
20616.0,121221
20617.0,117540
20618.0,111078
20619.0,96907
20620.0,110250
20621.0,118553
20622.0,117774
20623.0,125098
20624.0,122001
20625.0,124229
20626.0,111903
20627.0,111953
20628.0,126851
20629.0,132927
20630.0,129219
20631.0,121999
20632.0,115594
20633.0,120503
20634.0,133446
20635.0,151162
20636.0,145190
20637.0,139084
20638.0,123155
20639.0,113026
20640.0,115775
20641.0,125487
20642.0,140555
20643.0,141229
20644.0,147322
20645.0,138022
20646.0,138297
20647.0,128789
20648.0,131983
20649.0,140666
20650.0,148892
20651.0,149724
20652.0,139667
20653.0,139456
20654.0,128248
20655.0,133611
20656.0,143154
20657.0,146675
20658.0,151222
20659.0,140044
20660.0,136182
20661.0,127024
20662.0,132349
20663.0,142362
20664.0,149672
20665.0,152126
20666.0,136043
20667.0,147570
20668.0,136558
20669.0,139811
20670.0,147395
20671.0,152439
20672.0,150617
20673.0,137923
20674.0,132876
20675.0,130119
20676.0,135493
20677.0,141831
20678.0,148702
20679.0,145134
20680.0,127609
20681.0,130941
20682.0,126259
20683.0,143451
20684.0,143132
20685.0,146621
20686.0,143306
20687.0,133151
20688.0,130639
20689.0,124442
20690.0,120417
20691.0,131510
20692.0,127757
20693.0,126097
20694.0,108523
20695.0,104240
20696.0,90944
20697.0,98063
20698.0,138972
20699.0,135632
20700.0,137762
20701.0,114588
20702.0,117852
20703.0,113820
20704.0,121802
20705.0,131973
20706.0,136255
20707.0,144641
20708.0,130428
20709.0,127959
20710.0,113839
20711.0,125190
20712.0,137980
20713.0,135146
20714.0,137674
20715.0,129388
20716.0,121209
20717.0,105199
20718.0,110839
20719.0,122007
20720.0,124261
20721.0,133300
20722.0,122411
20723.0,112472
20724.0,99989
20725.0,107591
20726.0,121787
20727.0,121820
20728.0,136108
20729.0,125483
20730.0,121066
20731.0,110523
20732.0,116595
20733.0,109641
20734.0,118937
20735.0,140253
20736.0,124854
20737.0,117357
20738.0,96400
20739.0,105518
20740.0,122227
20741.0,130102
20742.0,136961
20743.0,124682
20744.0,114774
20745.0,98917
20746.0,108496
20747.0,126919
20748.0,131672
20749.0,132811
20750.0,121380
20751.0,107629
20752.0,94576
20753.0,100988
20754.0,111161
20755.0,122510
20756.0,135413
20757.0,107470
20758.0,97713
20759.0,98010
20760.0,100970
20761.0,104513
20762.0,102850
20763.0,113848
20764.0,106206
20765.0,100026
20766.0,84657
20767.0,91932
20768.0,113077
20769.0,117773
20770.0,125301
20771.0,110491
20772.0,103899
20773.0,86521
20774.0,98488
